sentence,chapter,wordcount,translator,group,phase,modality,error_number,error_point,kudos,neutral
25,18,6,10,A,Pre,PE,0,0,0,0
26,18,7,10,A,Pre,PE,3,7,0,0
27,18,17,10,A,Pre,PE,2,11,0,0
28,18,7,10,A,Pre,PE,1,1,0,0
29,18,16,10,A,Pre,PE,2,2,0,0
30,18,13,10,A,Pre,PE,1,10,0,0
31,18,9,10,A,Pre,PE,0,0,1,0
32,18,13,10,A,Pre,PE,1,1,1,0
33,18,17,10,A,Pre,PE,2,6,0,0
34,18,4,10,A,Pre,PE,0,0,0,0
35,18,6,10,A,Pre,PE,1,1,0,0
36,18,9,10,A,Pre,PE,0,0,0,0
8,6,2,10,B,Post,HT,0,0,0,0
9,6,18,10,B,Post,HT,5,9,0,0
10,6,8,10,B,Post,HT,2,6,0,0
11,6,11,10,B,Post,HT,3,11,0,0
12,6,3,10,B,Post,HT,0,0,0,0
13,6,9,10,B,Post,HT,1,5,0,0
14,6,8,10,B,Post,HT,1,5,0,0
15,6,10,10,B,Post,HT,0,0,0,0
16,6,18,10,B,Post,HT,6,6,0,0
17,6,9,10,B,Post,HT,2,6,0,0
18,6,16,10,B,Post,HT,3,7,0,0
19,6,19,10,B,Post,HT,1,1,0,0
1,2,2,10,B,Post,PE,0,0,0,0
2,2,16,10,B,Post,PE,2,2,0,0
3,2,74,10,B,Post,PE,12,44,0,2
4,2,32,10,B,Post,PE,2,1,0,1
5,2,6,10,B,Post,PE,0,0,0,0
6,2,29,10,B,Post,PE,5,12,0,1
7,2,27,10,B,Post,PE,3,7,0,0
20,18,2,10,B,Post,PE,0,0,0,0
21,18,7,10,B,Post,PE,0,0,0,0
22,18,7,10,B,Post,PE,0,0,0,0
23,18,5,10,B,Post,PE,0,0,0,0
24,18,6,10,B,Post,PE,1,1,0,0
25,18,6,10,B,Post,PE,1,5,0,0
26,18,7,10,B,Post,PE,4,7,0,1
27,18,17,10,B,Post,PE,4,17,0,0
28,18,7,10,B,Post,PE,3,2,0,1
29,18,16,10,B,Post,PE,2,2,0,0
30,18,13,10,B,Post,PE,2,10,0,1
31,18,9,10,B,Post,PE,0,0,0,0
32,18,13,10,B,Post,PE,1,1,0,0
33,18,17,10,B,Post,PE,1,1,1,0
34,18,4,10,B,Post,PE,1,0,0,1
35,18,6,10,B,Post,PE,1,1,0,0
36,18,9,10,B,Post,PE,0,0,0,0
1,2,2,11,A,Pre,HT,0,0,0,0
2,2,16,11,A,Pre,HT,3,7,1,0
3,2,74,11,A,Pre,HT,8,16,0,0
4,2,32,11,A,Pre,HT,1,1,1,0
5,2,6,11,A,Pre,HT,0,0,0,0
6,2,29,11,A,Pre,HT,4,12,0,0
7,2,27,11,A,Pre,HT,2,2,1,0
8,6,2,11,A,Pre,PE,0,0,0,0
9,6,18,11,A,Pre,PE,2,2,0,0
10,6,8,11,A,Pre,PE,0,0,0,0
11,6,11,11,A,Pre,PE,0,0,1,0
12,6,3,11,A,Pre,PE,0,0,0,0
13,6,9,11,A,Pre,PE,0,0,0,0
14,6,8,11,A,Pre,PE,1,1,0,0
15,6,10,11,A,Pre,PE,0,0,0,0
16,6,18,11,A,Pre,PE,0,0,1,0
17,6,9,11,A,Pre,PE,0,0,0,0
18,6,16,11,A,Pre,PE,0,0,1,0
19,6,19,11,A,Pre,PE,0,0,0,0
20,18,2,11,A,Pre,PE,0,0,0,0
21,18,7,11,A,Pre,PE,1,1,0,0
22,18,7,11,A,Pre,PE,0,0,0,0
23,18,5,11,A,Pre,PE,0,0,0,0
24,18,6,11,A,Pre,PE,0,0,0,0
25,18,6,11,A,Pre,PE,0,0,0,0
26,18,7,11,A,Pre,PE,3,7,0,0
27,18,17,11,A,Pre,PE,2,11,0,0
28,18,7,11,A,Pre,PE,1,1,0,0
29,18,16,11,A,Pre,PE,0,0,0,0
30,18,13,11,A,Pre,PE,1,10,0,0
31,18,9,11,A,Pre,PE,0,0,0,0
32,18,13,11,A,Pre,PE,2,2,0,0
33,18,17,11,A,Pre,PE,4,12,0,0
34,18,4,11,A,Pre,PE,0,0,0,0
35,18,6,11,A,Pre,PE,1,1,0,0
36,18,9,11,A,Pre,PE,1,1,0,0
8,6,2,11,B,Post,HT,0,0,0,0
9,6,18,11,B,Post,HT,3,15,0,0
10,6,8,11,B,Post,HT,1,5,0,0
11,6,11,11,B,Post,HT,4,3,0,1
12,6,3,11,B,Post,HT,0,0,0,0
13,6,9,11,B,Post,HT,0,0,0,0
14,6,8,11,B,Post,HT,0,0,0,0
15,6,10,11,B,Post,HT,1,1,0,0
16,6,18,11,B,Post,HT,1,1,0,0
17,6,9,11,B,Post,HT,0,0,0,0
18,6,16,11,B,Post,HT,1,5,0,0
19,6,19,11,B,Post,HT,1,10,0,0
1,2,2,11,B,Post,PE,0,0,0,0
2,2,16,11,B,Post,PE,0,0,1,0
3,2,74,11,B,Post,PE,10,22,0,0
4,2,32,11,B,Post,PE,1,1,0,0
5,2,6,11,B,Post,PE,0,0,0,0
6,2,29,11,B,Post,PE,4,11,0,2
7,2,27,11,B,Post,PE,2,2,0,0
20,18,2,11,B,Post,PE,0,0,0,0
21,18,7,11,B,Post,PE,1,1,0,0
22,18,7,11,B,Post,PE,0,0,0,0
23,18,5,11,B,Post,PE,0,0,0,0
24,18,6,11,B,Post,PE,0,0,0,0
25,18,6,11,B,Post,PE,0,0,0,0
26,18,7,11,B,Post,PE,3,7,0,0
27,18,17,11,B,Post,PE,1,10,1,0
28,18,7,11,B,Post,PE,1,1,0,0
29,18,16,11,B,Post,PE,2,2,0,0
30,18,13,11,B,Post,PE,1,10,0,0
31,18,9,11,B,Post,PE,0,0,0,0
32,18,13,11,B,Post,PE,2,2,0,0
33,18,17,11,B,Post,PE,2,6,0,0
34,18,4,11,B,Post,PE,0,0,0,0
35,18,6,11,B,Post,PE,1,1,0,0
36,18,9,11,B,Post,PE,1,1,0,0
